lemma,global_position,role,deprel,partner_lemma
mirror,98,head,conj,razor
and,99,dependent,cc,razor
a,100,dependent,det,razor
razor,101,dependent,conj,mirror
razor,101,head,cc,and
razor,101,head,det,a
lay,102,dependent,aux:pass,cross
cross,103,dependent,acl:relcl,bowl
cross,103,head,obl,which
cross,103,head,nsubj:pass,mirror
cross,103,head,aux:pass,lay
.,104,dependent,punct,come
a,105,dependent,det,dressinggown
yellow,106,dependent,amod,dressinggown
dressinggown,107,dependent,nsubj:pass,sustain
dressinggown,107,head,det,a
dressinggown,107,head,amod,yellow
dressinggown,107,head,acl,ungirdle
dressinggown,107,head,punct,","
",",108,dependent,punct,ungirdle
ungirdle,109,dependent,acl,dressinggown
ungirdle,109,head,punct,","
",",110,dependent,punct,dressinggown
be,111,dependent,aux:pass,sustain
sustain,112,head,nsubj:pass,dressinggown
sustain,112,head,aux:pass,be
sustain,112,head,advmod,gently
sustain,112,head,obl,he
sustain,112,head,obl,air
sustain,112,head,punct,.
gently,113,dependent,advmod,sustain
behind,114,dependent,case,he
he,115,dependent,obl,sustain
he,115,head,case,behind
on,116,dependent,case,air
the,117,dependent,det,air
mild,118,dependent,amod,air
morning,119,dependent,compound,air
air,120,dependent,obl,sustain
air,120,head,case,on
air,120,head,det,the
air,120,head,amod,mild
air,120,head,compound,morning
.,121,dependent,punct,sustain
he,122,dependent,nsubj,hold
hold,123,head,nsubj,he
hold,123,head,obj,bowl
hold,123,head,advmod,aloft
hold,123,head,conj,inton
hold,123,head,punct,:
the,124,dependent,det,bowl
bowl,125,dependent,obj,hold
bowl,125,head,det,the
aloft,126,dependent,advmod,hold
and,127,dependent,cc,inton
inton,128,dependent,conj,hold
inton,128,head,cc,and
:,129,dependent,punct,hold
—,130,dependent,punct,_introibo
_introibo,131,dependent,compound,ad
_introibo,131,head,punct,—
ad,132,head,compound,_introibo
ad,132,head,flat,altare
ad,132,head,punct,.
altare,133,dependent,flat,ad
altare,133,head,flat,dei_
dei_,134,dependent,flat,altare
.,135,dependent,punct,ad
halt,136,dependent,advcl,peer
halt,136,head,punct,","
",",137,dependent,punct,halt
he,138,dependent,nsubj,peer
peer,139,head,advcl,halt
peer,139,head,nsubj,he
peer,139,head,obl,stair
peer,139,head,conj,call
peer,139,head,punct,:
down,140,dependent,case,stair
the,141,dependent,det,stair
dark,142,dependent,amod,stair
wind,143,dependent,compound,stair
stair,144,dependent,obl,peer
stair,144,head,case,down
stair,144,head,det,the
stair,144,head,amod,dark
stair,144,head,compound,wind
and,145,dependent,cc,call
call,146,dependent,conj,peer
call,146,head,cc,and
call,146,head,compound:prt,out
call,146,head,advmod,coarsely
out,147,dependent,compound:prt,call
coarsely,148,dependent,advmod,call
:,149,dependent,punct,peer
—,150,dependent,punct,come
come,151,head,punct,—
come,151,head,compound:prt,up
come,151,head,vocative,kinch
come,151,head,punct,!
up,152,dependent,compound:prt,come
",",153,dependent,punct,kinch
kinch,154,dependent,vocative,come
kinch,154,head,punct,","
!,155,dependent,punct,come
come,156,head,compound:prt,up
come,156,head,parataxis,jesuit
come,156,head,punct,!
up,157,dependent,compound:prt,come
",",158,dependent,punct,jesuit
you,159,dependent,nsubj,jesuit
fearful,160,dependent,amod,jesuit
jesuit,161,dependent,parataxis,come
jesuit,161,head,punct,","
jesuit,161,head,nsubj,you
jesuit,161,head,amod,fearful
!,162,dependent,punct,come
solemnly,163,dependent,advmod,come
he,164,dependent,nsubj,come
come,165,head,advmod,solemnly
come,165,head,nsubj,he
come,165,head,advmod,forward
come,165,head,conj,mount
come,165,head,punct,.
forward,166,dependent,advmod,come
and,167,dependent,cc,mount
mount,168,dependent,conj,come
mount,168,head,cc,and
mount,168,head,obj,gunrest
the,169,dependent,det,gunrest
round,170,dependent,amod,gunrest
gunrest,171,dependent,obj,mount
gunrest,171,head,det,the
gunrest,171,head,amod,round
.,172,dependent,punct,come
he,173,dependent,nsubj,face
face,174,head,nsubj,he
face,174,head,advmod,about
face,174,head,xcomp,thrice
face,174,head,punct,.
about,175,dependent,advmod,face
about,175,head,conj,bless
and,176,dependent,cc,bless
bless,177,dependent,conj,about
